Zeit;1051;1052;1053;1054;1055;1056;1057;1061;1062;1063;1064;1065;1066;1067;1071;1072;1073;1074;1075;1076;1077;1041;1042;1043;1044;1045;1046;1047;1031;1032;1033;1034;1035;1036;1037;1021;1022;1023;1024;1025;1026;1027;1011;1012;1013;1014;1015;1016;1017;1001;1002;1003;1004;1005;1006;1007;nk1;nk2;nk3;nk4;nk5;nk6;nk7;nk8
5;151,24824;151,52148;107,1878;117,24496;135,67106;155,74926;103,452;183,75582;56,08816;209,52008;178,22786;168,08984;202,01244;157,37516;9,53726;257,65052;270,05198;200,47612;202,81458;184,34948;183,33566;1,58816;1,994;6,14916;4,71944;4,58644;6,41744;4,40286;1,88426;2,84712;2,74566;2,85176;3,7279;4,9187;3,02054;2,2527;1,4324;1,202846;1,079488;3,214692;1,7378;3,8645962;1,050666;0,588734;1,158298;0,667532;2,21471;1,14886;2,4600772;0,967456;1,745568;2,302178;1,43112;2,50078;1,94094;2,605921;2,22764;4,37476;2,60168;3,5269;4,14488;1,13188;2,50886;2,06278
5,5;228,64924;248,58848;164,1048;174,87296;202,81006;236,77726;167,624;248,92182;124,35996;294,78908;238,68086;232,98984;270,96944;215,53016;21,96186;315,84752;333,09398;254,69312;254,95458;231,65648;231,19466;1,88086;3,6092;14,24256;9,63094;8,27774;10,08274;7,28346;2,50216;4,10712;3,45196;4,89536;5,1085;7,526;4,98474;3,7225;2,2969;1,607096;1,390588;3,686492;2,4797;4,1241462;5,223566;3,860114;5,415368;8,151382;11,15391;7,19836;8,9943072;3,812256;0,290768;5,269338;-5,31229;5,27678;1,37504;4,266611;2,30604;4,43596;3,13828;3,7719;4,72008;0,95011;2,84256;3,16398
6;299,71624;331,72948;216,7678;230,21796;267,15406;312,27426;229,165;309,85682;208,38396;366,76908;292,70586;295,24184;335,08544;269,30016;44,45186;365,50852;386,61898;304,32212;303,25858;276,06248;276,16166;2,14376;6,6026;30,99626;19,33654;14,77094;17,45264;12,89406;4,86826;7,60362;6,63986;9,52496;9,8078;12,6609;9,65094;6,8664;3,4183;2,864436;2,615128;5,369192;4,7912;4,3788662;3,337466;1,863314;4,618668;7,553282;9,19541;5,95666;7,8611672;2,576356;-0,359162;4,810238;-5,82928;5,02448;0,78544;4,043841;2,65664;6,01256;4,18668;4,6847;5,63258;0,96699;3,25916;2,74708
6,5;362,13524;400,73548;264,6528;280,51196;325,94006;379,75826;284,066;363,59182;284,85496;424,68508;338,73086;351,38784;390,92844;317,09416;77,68906;406,83352;431,97298;349,27912;346,19058;316,19148;316,57166;2,24176;13,589;60,93536;34,26524;24,87134;27,95734;21,51316;7,52256;13,31492;10,94426;16,62116;16,075;19,9277;16,46644;12,7582;5,0832;4,813916;5,694128;7,754592;7,9429;5,6600362;4,457666;2,586414;7,216868;8,520582;9,92581;7,32256;8,1457372;2,666456;0,120148;5,797538;-4,86434;5,32238;1,30994;4,043841;2,67714;6,78786;4,68558;5,0239;6,02258;1,2591;3,12436;2,99728
7;417,43124;458,86248;307,2818;327,25296;379,62606;440,58326;332,003;411,50382;347,31196;473,58108;377,67886;402,34184;442,75244;361,15716;120,31506;442,08152;469,53698;389,06612;384,44058;352,32248;352,94866;2,66346;27,2148;98,44506;54,60564;38,54664;42,14384;34,10506;12,85556;23,34572;18,98426;27,35366;26,8114;31,7858;27,71954;21,7065;8,8508;8,013516;9,631928;12,006492;12,9273;7,0394762;5,325166;3,989714;9,288668;9,728182;10,62391;7,84616;8,5195072;4,095956;1,278368;6,179138;-2,23268;6,43228;2,07084;5,319581;3,06324;7,22046;5,30148;5,1836;6,84738;1,31004;3,28596;3,53328
7,5;464,91724;506,53848;340,8158;367,99596;427,07006;492,23126;376,047;453,53682;397,38996;513,01808;410,91886;446,06884;486,56344;399,84116;169,45206;470,07752;501,25498;423,12112;416,90758;384,26548;384,64866;3,10476;49,8604;142,16206;79,60124;56,43444;59,98854;50,44726;21,17106;39,20952;31,06576;42,67676;41,9512;48,4202;42,41014;32,5361;14,1524;13,734116;15,743828;17,744992;20,381;8,8514862;7,735266;5,332314;13,670868;11,307782;13,26161;10,30086;9,9891072;4,413656;2,126568;7,693338;0,81172;6,94868;3,10754;5,251751;3,00934;7,57406;6,13378;6,1456;7,49248;1,48337;4,17616;4,21218
8;504,77524;545,98748;372,4658;403,56396;469,70006;538,85826;412,032;490,07782;439,00496;545,13808;439,55886;485,87684;524,63744;433,89216;222,37506;495,86152;528,71098;453,83912;445,60458;412,89248;413,06166;3,89876;81,8757;187,19506;107,47524;76,80294;80,60434;69,12056;32,71026;59,54022;47,03236;63,02856;62,2771;70,9808;60,93094;45,3538;21,6799;20,347416;23,640628;24,720192;29,3199;11,4958162;11,718066;7,596214;21,963768;14,264482;17,18351;13,31056;12,2406072;4,685556;2,791268;7,934738;8,28702;7,84818;3,86354;6,330641;2,88154;8,77926;6,68788;6,7789;8,62628;2,02293;4,84506;4,87388
8,5;539,29324;578,90548;401,0828;435,64696;507,48106;577,68726;445,385;521,62782;472,58196;573,39008;463,86386;520,64684;557,82844;464,63416;274,86906;517,72252;552,03698;479,82812;470,81558;438,40548;438,72666;4,01126;120,9177;231,19306;137,41324;99,79094;102,65534;90,91656;47,35446;84,95782;65,60446;87,31986;86,7471;98,4358;84,13984;61,0066;31,2606;29,592516;32,299828;34,188492;40,1013;15,3140162;20,823366;13,575214;37,532868;21,215582;25,89781;21,73216;17,5401072;6,105056;3,874668;9,262338;22,53932;8,49808;4,85204;7,408931;3,57934;9,15216;7,94338;6,9121;9,37238;2,67083;4,74076;5,30728
9;567,98024;606,15248;424,7188;462,38896;539,71506;612,75026;473,425;548,68482;499,91596;596,18608;484,67886;551,00684;586,56144;490,24416;322,59006;534,92252;570,61898;502,05012;491,49058;459,42748;460,09666;3,99916;164,3737;272,79906;168,70424;125,52994;126,27434;114,97756;65,01456;113,43582;86,95756;115,52186;116,0891;130,2168;110,95884;77,2943;41,4141;39,219716;42,213628;44,203892;51,8799;18,1621162;35,587466;23,215614;56,363568;31,144182;40,76751;36,00706;26,1396072;5,631556;3,626568;8,980838;43,01532;8,53848;4,81374;7,030001;3,77774;9,92506;7,70258;7,0864;9,39588;2,61203;5,46876;6,20928
9,5;592,28724;630,26248;445,2828;486,36196;568,74106;640,98326;497,831;572,28082;522,32496;616,65108;502,41486;577,75084;611,76544;514,13716;367,07506;550,74552;588,00998;521,89412;510,69058;478,82348;479,71566;5,06786;209,4827;311,98506;200,56624;152,63294;151,79334;140,66256;87,01456;144,87682;111,15956;146,97186;149,6751;167,1598;142,45684;96,3215;53,7015;50,899416;54,877828;56,781592;65,4777;23,5888162;53,638666;36,272314;75,756468;44,424282;61,79881;56,67756;38,2190072;7,178256;4,869168;10,454038;68,08402;9,51668;5,50854;7,998531;4,84334;10,47856;8,96408;7,9214;10,52238;2,61203;6,20526;6,68978
